"","beta0"
"hsa.miR.20b..1",0.6
"hsa.miR.599.1",-0.2
"hsa.miR.187..1",1.1
"hsa.miR.129.5p.2..1",-0.3
"hsa.miR.1271..1",0.7
"hsa.miR.3200..1",-0.6
"hsa.miR.137.1",0.1
"hsa.miR.1269..1",-0.6
"hsa.miR.676..1",0.5
"hsa.miR.525.5p.1",-0.8
"hsa.miR.588.1",0.8
"hsa.miR.584..1",-1
"hsa.miR.133b.1",0.3
"hsa.miR.512.5p.2..1",-0.9
"hsa.miR.519c.1",0.6
"hsa.miR.873.1",-0.2
"hsa.miR.659..1",0.6
"hsa.miR.183..1",-1.1
"hsa.miR.3657.1",0.5
"hsa.miR.605.3p.1",-0.7
"hsa.miR.520d.5p.1",0.4
"hsa.miR.885.1",-0.7
"hsa.miR.520c.1",0.6
"hsa.miR.3942.3p.1",-0.8
"hsa.miR.580..1",0.9
"hsa.miR.412.3p.1",-0.8
"hsa.miR.1266.1",0.9
"hsa.miR.3664.3p.1",-1.2
"hsa.miR.3144.1",0.5
"hsa.miR.3682.3p.1",-0.8
