"","beta0"
"hsa.miR.383.1",0.5
"hsa.miR.520c.1",-0.6
"hsa.miR.182..1",0.9
"hsa.miR.873.1",-0.2
"hsa.miR.498.5p.1",0.6
"hsa.miR.520b.3p.1",-0.6
"hsa.miR.504.1",0.1
"hsa.miR.890.3p.1",-0.5
"hsa.miR.3146.3p.1",0.5
"hsa.miR.3150.5p.1",-0.9
"hsa.miR.3174.1",0.5
"hsa.miR.129.5p.2..1",-0.3
"hsa.miR.890.5p.1",0.7
"hsa.miR.659..1",-0.6
"hsa.miR.551b..1",0.7
"hsa.miR.3200..1",-0.6
"hsa.miR.599.1",0.2
"hsa.miR.133a..2..1",-0.2
"hsa.miR.3657.1",0.5
"hsa.miR.449b.1",-0.4
"hsa.miR.133a.2..1",0.2
"hsa.miR.668.1",-0.4
"hsa.miR.1293.5p.1",0.6
"hsa.miR.876.5p.1",-0.3
"hsa.miR.551a.1",0.5
"hsa.miR.208b.1",-0.3
"hsa.miR.449c.3p.1",0.8
"hsa.miR.7.2..1",-0.4
"hsa.miR.202.5p.1",0.3
"hsa.miR.885.1",-0.7
